epoch,train_loss,train_acc,val_loss,val_dice,val_acc,lr
10,0.680245,0.892464,0.704812,0.068308,0.917116,6.23E-06
20,0.653438,0.89311,0.696891,0.109486,0.933288,1.27E-05
30,0.620055,0.946359,0.682825,0.207707,0.970133,2.28E-05
40,0.604061,0.962626,0.671865,0.264069,0.981365,3.57E-05
50,0.571015,0.977497,0.661495,0.335269,0.988073,5.00E-05
60,0.547562,0.980155,0.651752,0.372626,0.991504,6.45E-05
70,0.532192,0.982569,0.643189,0.397699,0.992529,7.79E-05
80,0.504341,0.984511,0.631819,0.468713,0.994986,8.89E-05
90,0.477202,0.985857,0.617817,0.412501,0.993675,9.64E-05
100,0.448136,0.989409,0.60215,0.48181,0.995489,9.98E-05
110,0.420905,0.990643,0.583755,0.482542,0.995549,9.98E-05
120,0.394659,0.990588,0.567716,0.543135,0.996444,9.87E-05
130,0.377441,0.991223,0.546999,0.575113,0.997206,9.68E-05
140,0.348887,0.99243,0.528593,0.603893,0.99744,9.42E-05
150,0.32166,0.992992,0.511495,0.621903,0.997635,9.07E-05
160,0.309027,0.99343,0.48679,0.645072,0.997597,8.66E-05
170,0.283247,0.993717,0.470014,0.652449,0.997916,8.18E-05
180,0.256247,0.994119,0.452987,0.664359,0.99796,7.65E-05
190,0.257973,0.994143,0.431942,0.666952,0.998001,7.08E-05
200,0.241217,0.994551,0.418516,0.673419,0.997882,6.46E-05
210,0.233763,0.994611,0.416457,0.694649,0.998048,5.83E-05
220,0.219687,0.994553,0.399563,0.702262,0.997997,5.18E-05
230,0.212807,0.995029,0.390492,0.7149192,0.998006,4.52E-05
240,0.211574,0.994964,0.38303,0.729895,0.998098,3.88E-05
250,0.210728,0.99494,0.377218,0.733792,0.998074,3.25E-05
260,0.19653,0.995378,0.36853,0.740531,0.997997,2.66E-05
270,0.213069,0.994688,0.369376,0.754687,0.997989,2.10E-05
280,0.195841,0.99513,0.366485,0.761563,0.998104,1.59E-05
290,0.191816,0.995098,0.365259,0.782676,0.998122,1.14E-05
300,0.182865,0.995149,0.364233,0.789553,0.998089,7.61E-06
