epoch,train_loss,train_acc,val_loss,val_dice,val_acc,lr
10,0.664793,0.898345,0.720208,0.018340,0.909146,6.90539558e-06
20,0.646109,0.905108,0.721676,0.023226,0.912276,1.52698605e-05
30,0.611647,0.944657,0.710552,0.058163,0.955926,2.80808081e-05
40,0.581478,0.960450,0.700626,0.113995,0.977837,4.37873688e-05
50,0.561964,0.961548,0.690628,0.177357,0.988877,6.04881355e-05
60,0.527254,0.979091,0.685896,0.193125,0.989458,7.61613441e-05
70,0.519169,0.979881,0.687270,0.120156,0.981170,8.89096252e-05
80,0.491574,0.980199,0.676357,0.204205,0.989631,9.71896954e-05
90,0.465467,0.981075,0.663242,0.299783,0.994417,9.99998446e-05
100,0.463807,0.978751,0.657334,0.279368,0.993714,9.94228094e-05
110,0.435211,0.984638,0.645052,0.478765,0.997418,9.77417548e-05
120,0.412567,0.987937,0.635316,0.584940,0.998381,9.49942327e-05
130,0.384484,0.987148,0.620466,0.537714,0.997994,9.12416183e-05
140,0.383891,0.990610,0.606787,0.512596,0.997722,8.65677388e-05
150,0.353581,0.989039,0.593640,0.648112,0.998798,8.10770009e-05
160,0.343136,0.990864,0.579383,0.588049,0.998329,7.48920586e-05
170,0.326656,0.990423,0.563952,0.645651,0.998732,6.81510733e-05
180,0.319054,0.990736,0.561865,0.703014,0.999165,6.10046275e-05
190,0.304815,0.990075,0.547991,0.700459,0.999158,5.36123610e-05
200,0.324391,0.989152,0.527696,0.670573,0.998908,4.61394047e-05
210,0.299567,0.990508,0.518956,0.696058,0.999076,3.87526923e-05
220,0.281846,0.991916,0.513209,0.713533,0.999187,3.16172306e-05
230,0.292374,0.990032,0.512731,0.709390,0.999220,2.48924140e-05
240,0.334187,0.988589,0.498396,0.708927,0.999139,1.87284639e-05
250,0.286584,0.990664,0.506313,0.716620,0.999239,1.32630727e-05
260,0.244242,0.993750,0.494644,0.714046,0.999177,8.61832823e-06
270,0.276358,0.991350,0.493278,0.715871,0.999200,4.89798638e-06
280,0.314303,0.989015,0.494026,0.720216,0.999226,2.18515346e-06
290,0.271452,0.991994,0.494227,0.718375,0.999221,5.40429670e-07
300,0.262947,0.993072,0.494801,0.718497,0.999227,5.55416349e-10
