epoch,train_loss,train_acc,val_loss,val_dice,val_acc,lr
10,0.723889,0.134591,0.762140,0.011359,0.080849,6.90539558e-06
20,0.702839,0.319091,0.747667,0.016877,0.382691,1.52698605e-05
30,0.670092,0.633418,0.728658,0.045779,0.768959,2.80808081e-05
40,0.654256,0.802861,0.717319,0.130808,0.916650,4.37873688e-05
50,0.637022,0.883625,0.711650,0.189190,0.936327,6.04881355e-05
60,0.618735,0.909964,0.705153,0.250488,0.967953,7.61613441e-05
70,0.604424,0.916218,0.705160,0.256191,0.970540,8.89096252e-05
80,0.595734,0.884785,0.704457,0.199996,0.910805,9.71896954e-05
90,0.572030,0.905575,0.701984,0.222766,0.891864,9.99998446e-05
100,0.568787,0.924610,0.692041,0.304090,0.981064,9.94228094e-05
110,0.544470,0.937218,0.689647,0.265234,0.956132,9.77417548e-05
120,0.534752,0.950860,0.685446,0.307323,0.980657,9.49942327e-05
130,0.522421,0.954629,0.675935,0.372061,0.986835,9.12416183e-05
140,0.509385,0.967809,0.665194,0.399623,0.988287,8.65677388e-05
150,0.489926,0.970890,0.657686,0.402818,0.988477,8.10770009e-05
160,0.486948,0.977346,0.649257,0.428879,0.989708,7.48920586e-05
170,0.468864,0.976573,0.642306,0.472597,0.991517,6.81510733e-05
180,0.464360,0.981677,0.636756,0.508781,0.992910,6.10046275e-05
190,0.444191,0.985334,0.629819,0.510543,0.992878,5.36123610e-05
200,0.448736,0.983302,0.626256,0.543601,0.993870,4.61394047e-05
210,0.432023,0.985663,0.621131,0.533062,0.993448,3.87526923e-05
220,0.429884,0.986181,0.616408,0.523677,0.993176,3.16172306e-05
230,0.427208,0.987294,0.613541,0.511314,0.992817,2.48924140e-05
240,0.433843,0.985474,0.611403,0.536002,0.993474,1.87284639e-05
250,0.421343,0.988026,0.610341,0.575684,0.994538,1.32630727e-05
260,0.413779,0.988530,0.608642,0.542235,0.993657,8.61832823e-06
270,0.421986,0.987427,0.607787,0.543511,0.993714,4.89798638e-06
280,0.415868,0.986471,0.607460,0.546400,0.993778,2.18515346e-06
290,0.414195,0.988072,0.607500,0.548134,0.993828,5.40429670e-07
300,0.413241,0.986079,0.607464,0.547610,0.993816,5.55416349e-10
