epoch,train_loss,train_acc,val_loss,val_dice,val_acc,lr
10,0.700679,0.678772,0.722341,0.043505,0.802985,1.04658286e-05
20,0.660135,0.836211,0.701122,0.127453,0.931097,2.81213587e-05
30,0.618853,0.943352,0.680108,0.240125,0.970678,5.22100222e-05
40,0.591277,0.971058,0.667912,0.360667,0.986204,7.62421038e-05
50,0.571488,0.975155,0.658310,0.355816,0.985309,9.37431316e-05
60,0.548283,0.980423,0.647724,0.369489,0.986177,9.99996503e-05
70,0.523280,0.982906,0.636034,0.503962,0.993079,9.87044487e-05
80,0.510091,0.985143,0.625922,0.475658,0.991996,9.49670126e-05
90,0.486268,0.988718,0.615119,0.470339,0.991797,8.89747528e-05
100,0.478877,0.985628,0.602532,0.534335,0.993953,8.10281461e-05
110,0.451128,0.989365,0.592423,0.562306,0.994685,7.15256687e-05
120,0.438761,0.989611,0.581119,0.591629,0.995317,6.09438144e-05
130,0.422593,0.989795,0.571773,0.593905,0.995350,4.98132016e-05
140,0.416612,0.991991,0.564700,0.597639,0.995443,3.86919657e-05
150,0.406933,0.992009,0.558410,0.593449,0.995307,2.81377718e-05
160,0.397113,0.991534,0.555520,0.581118,0.995090,1.86798514e-05
170,0.397031,0.992343,0.551890,0.596804,0.995397,1.07924641e-05
180,0.395234,0.992311,0.550630,0.608430,0.995646,4.87111630e-06
190,0.392363,0.991924,0.550123,0.614865,0.995778,1.21272924e-06
200,0.399098,0.992395,0.550202,0.611631,0.995713,7.49686558e-10
